"Reference","Value","Footprint","Qty","DNP","Manufacturer","Part Number"
"C101,C102,C103,C104,C106,C108,C109,C110,C111,C112,C113","1u","Library:CL10A","11","","Samsung Electro-Mechanics","CL10B105KO8NNNC"
"C105,C107","10u","UltraLibrarian:CAP_CL21_SAM","2","","Samsung Electro-Mechanics","CL21A106KAYNNNE"
"D101,D103","1N5819HW-7-F","Diode_SMD:D_SOD-123","2","","Diodes Incorporated","1N5819HW-7-F"
"D102","GRN","LED_SMD:LED_0603_1608Metric","1","","Everlight Elec","19-217/GHC-YR1S2/3T"
"F101","SRF1206P150","Library:PTC_1206_3216Metric","1","","prosemi","SRF1206P150"
"J101,J106,J107","Screw_Terminal_01x02","Samacsys:DG30825402P1400AH","3","","DEGSON","DG308-2.54-02P-14-00A(H)"
"J102","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","",""
"J104","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1","","",""
"J105","Screw_Terminal_01x03","Samacsys:DG30825403P1400AH","1","","DEGSON","DG308-2.54-03P-14-00A(H)"
"K101","AZ2100-1CE-5DEF","Library:AZ2100-1CE-5DEF","1","","American Zettler","AZ2100-1CE-5DEF"
"Q101,Q103","C20917","Package_TO_SOT_SMD:SOT-23","2","","Alpha & Omega Semicon","AO3400A"
"R101,R102,R103,R107,R108,R110,R111,R115","10K","Library:RESC1607X60N","8","","UNI-ROYAL(Uniroyal Elec)","0603WAF1002T5E"
"R104,R105,R113","2k2","Library:RESC1607X60N","3","","UNI-ROYAL(Uniroyal Elec)","0603WAF2201T5E"
"R109","68R","Library:RESC1607X60N","1","","UNI-ROYAL(Uniroyal Elec)","0603WAF680JT5E"
"TR101","ZMCT102","Library:zmct102","1","","Qingxian Zeming Langxi Electronic","ZMCT102"
"U101","AP2112K-3.3","Library:SOT95P285X140-5N","1","","Diodes Incorporated","AP2112K-3.3TRG1"
"U102","ESP32-C3-WROOM","Library:MODULE_ESP32-C3-WROOM-02-H4","1","","Espressif Systems","ESP32-C3-WROOM-02-N4"
"U103","TXS0104EPWR","Snapeda:TXS0104EPWR_SOP65P640X120-14N","1","","",""
"U104","ADS1115IDGSR","Library:ADS1115_SOP50P490X110-10N","1","","Texas Instruments","ADS1115IDGSR"
